@relation bank_market_1-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0

@attribute Class numeric
@attribute Attribute1 numeric
@attribute Attribute2 numeric
@attribute Attribute3 numeric
@attribute Attribute4 numeric
@attribute Attribute5 numeric
@attribute Attribute6 numeric
@attribute Attribute7 numeric
@attribute Attribute8 numeric
@attribute Attribute9 numeric
@attribute Attribute10 numeric
@attribute Attribute11 numeric
@attribute Attribute12 numeric
@attribute Attribute13 numeric
@attribute Attribute14 numeric
@attribute Attribute15 numeric
@attribute Attribute16 numeric
@attribute Attribute17 numeric
@attribute Attribute18 numeric
@attribute Attribute19 numeric
@attribute Attribute20 numeric
@attribute Outlier {no,yes}
@attribute ExtremeValue {no,yes}

@data
0,35,4,1,3,1,2,1,1,2,2,312,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,46,4,1,3,0,2,2,1,2,2,440,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,50,4,1,5,1,2,2,1,2,2,353,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,39,7,2,5,0,1,1,1,2,2,195,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,30,8,1,2,1,1,1,1,2,2,38,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,55,4,1,1,0,2,1,1,2,2,262,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,55,5,2,2,1,2,1,1,2,2,342,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,41,6,2,2,1,2,1,1,2,2,181,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,37,3,1,2,1,2,1,1,2,2,172,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,35,6,1,6,1,1,2,1,2,2,99,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,59,6,1,0,1,2,1,1,2,2,93,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,39,9,1,5,0,1,1,1,2,2,233,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,54,6,2,6,0,1,1,1,2,2,255,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,55,0,1,6,0,0,0,1,2,2,362,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,46,3,1,0,1,1,1,1,2,2,348,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,59,6,1,0,1,2,1,1,2,2,386,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,49,4,1,0,1,1,1,1,2,2,73,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,54,7,1,1,0,2,1,1,2,2,230,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,54,4,3,1,1,1,1,1,2,2,208,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,55,0,1,1,0,2,1,1,2,2,336,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,34,2,1,2,1,1,1,1,2,2,365,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,52,6,1,5,1,2,1,1,2,2,1666,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,41,3,1,6,1,2,1,1,2,2,577,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,56,6,1,1,1,2,1,1,2,2,137,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,58,7,0,6,1,2,1,1,2,2,366,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,32,10,1,2,1,2,1,1,2,2,314,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,38,3,2,4,1,1,1,1,2,2,160,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,57,3,1,6,1,1,2,1,2,2,212,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,44,3,1,6,0,2,1,1,2,2,188,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,42,6,2,4,0,1,1,1,2,2,22,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,57,3,1,6,1,2,2,1,2,2,616,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,40,4,1,5,1,1,2,1,2,2,178,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,35,3,1,6,1,2,1,1,2,2,355,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,45,4,1,5,1,2,1,1,2,2,225,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,54,3,1,2,1,1,1,1,2,2,160,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,39,1,1,1,1,1,2,1,2,2,266,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,60,3,1,2,1,1,1,1,2,2,253,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,53,3,2,4,1,1,1,1,2,2,179,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,55,4,1,1,0,1,1,1,2,2,269,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,55,6,1,4,0,2,1,1,2,2,135,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,50,7,1,6,0,1,2,1,2,2,161,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,45,2,1,2,0,2,1,1,2,2,787,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,55,8,1,4,0,2,2,1,2,2,145,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,25,6,2,6,1,2,1,1,2,2,174,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,47,10,1,6,0,1,1,1,2,2,449,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,51,4,1,5,1,2,1,1,2,2,812,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,42,4,1,3,0,2,1,1,2,2,164,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,42,4,1,3,0,1,1,1,2,2,366,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,48,3,1,2,1,1,1,1,2,2,357,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,37,3,1,6,1,1,1,1,2,2,232,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,44,4,2,5,1,2,1,1,2,2,91,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,33,3,1,0,1,2,1,1,2,2,273,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,56,3,1,5,1,2,1,1,2,2,158,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,44,4,2,1,0,2,2,1,2,2,177,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,41,7,1,3,1,1,1,1,2,2,200,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,44,7,3,6,1,2,1,1,2,2,172,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,47,3,1,6,0,2,1,1,2,2,176,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,57,0,1,0,0,1,1,1,2,2,211,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,37,3,1,6,0,2,1,1,2,2,214,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
1,41,4,3,1,0,2,1,1,2,2,1575,1,0,0,0,1.1,93.994,-36.4,4.857,5191,yes,yes
0,55,6,1,6,1,1,1,1,2,2,349,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,33,2,1,2,0,2,1,1,2,2,337,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,55,7,1,0,0,2,1,1,2,2,272,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,42,4,1,5,0,1,1,1,2,2,208,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,50,4,1,1,0,2,1,1,2,2,193,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,51,4,1,1,0,0,0,1,2,2,212,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,38,3,1,2,0,1,1,1,2,2,165,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
1,49,10,1,6,0,2,1,1,2,2,1042,1,0,0,0,1.1,93.994,-36.4,4.857,5191,yes,yes
0,38,6,2,6,1,1,2,1,2,2,20,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,31,3,3,2,1,1,1,1,2,2,246,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,41,7,1,3,1,1,1,1,2,2,529,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,39,3,1,6,1,2,2,1,2,2,192,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
1,49,6,1,5,1,1,1,1,2,2,1467,1,0,0,0,1.1,93.994,-36.4,4.857,5191,yes,yes
0,34,3,1,2,1,2,1,1,2,2,188,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,35,3,1,6,1,2,1,1,2,2,180,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,57,0,1,0,0,2,1,1,2,2,48,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,60,3,1,0,0,1,2,1,2,2,213,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,33,8,1,5,1,1,1,1,2,2,545,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,42,4,1,3,1,1,2,1,2,2,583,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,45,2,1,4,1,2,1,1,2,2,221,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,42,7,1,6,1,1,1,1,2,2,426,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,53,3,3,6,0,1,1,1,2,2,287,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,37,6,2,4,1,1,1,1,2,2,197,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,44,4,1,3,1,1,1,1,2,2,257,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,54,2,1,0,1,2,1,1,2,2,229,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,49,4,1,1,1,1,1,1,2,2,55,3,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,54,2,1,0,1,1,1,1,2,2,400,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,52,3,3,6,1,1,1,1,2,2,197,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,52,3,3,6,1,1,1,1,2,2,190,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,43,2,2,2,0,1,1,1,2,2,21,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,34,1,1,3,1,2,1,1,2,2,300,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,35,3,1,2,1,2,1,1,2,2,123,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,42,10,1,0,0,2,1,1,2,2,293,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,43,6,1,0,0,2,2,1,2,2,325,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,60,5,3,6,0,1,1,1,2,2,514,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,58,8,1,1,0,1,1,1,2,2,849,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,35,2,3,2,1,2,1,1,2,2,194,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,55,4,1,5,0,2,1,1,2,2,212,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,37,7,1,6,1,1,1,1,2,2,337,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,36,4,1,2,1,1,1,1,2,2,286,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,52,3,3,6,1,1,1,1,2,2,247,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,57,4,3,0,0,2,1,1,2,2,518,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,56,3,1,0,1,2,1,1,2,2,364,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,48,4,3,1,0,2,1,1,2,2,178,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,40,4,1,2,0,2,1,1,2,2,98,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,49,4,3,2,1,1,1,1,2,2,439,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,41,2,1,2,1,1,1,1,2,2,139,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,45,6,1,2,1,2,1,1,2,2,79,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,32,3,1,6,1,2,2,1,2,2,175,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,42,3,1,6,1,1,2,1,2,2,262,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,50,3,1,3,1,1,1,1,2,2,61,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,31,6,3,4,1,2,2,1,2,2,78,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,56,5,1,1,1,2,1,1,2,2,102,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
1,41,6,1,4,0,2,1,1,2,2,579,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,37,4,1,3,1,2,2,1,2,2,143,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,41,6,1,4,0,1,1,1,2,2,677,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,35,4,1,0,1,2,1,1,2,2,267,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,37,4,1,3,1,2,1,1,2,2,345,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,52,7,1,6,1,1,1,1,2,2,185,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,39,7,3,6,1,1,1,1,2,2,207,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,39,1,1,1,0,1,1,1,2,2,69,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,56,4,1,1,0,1,1,1,2,2,100,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,34,2,1,2,1,2,1,1,2,2,125,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
1,45,4,1,5,0,2,1,1,2,2,461,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,43,8,2,6,1,2,1,1,2,2,240,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,56,7,1,0,1,2,1,1,2,2,70,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,39,7,1,6,1,2,1,1,2,2,193,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,53,4,1,1,1,2,1,1,2,2,136,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,38,0,3,2,0,2,1,1,2,2,73,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,42,4,1,1,0,2,1,1,2,2,528,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,42,4,1,1,0,1,1,1,2,2,541,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,35,3,2,2,1,2,1,1,2,2,338,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,40,3,1,6,0,2,1,1,2,2,163,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,51,4,1,1,1,2,1,1,2,2,87,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,60,4,1,5,0,1,1,1,2,2,301,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,56,10,1,0,0,2,1,1,2,2,46,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,39,2,3,2,0,2,1,1,2,2,52,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,56,10,1,0,0,1,1,1,2,2,204,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,40,4,1,0,1,2,2,1,2,2,155,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,36,4,1,5,1,2,2,1,2,2,98,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,51,4,1,0,0,2,1,1,2,2,71,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,51,4,1,0,0,1,1,1,2,2,243,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,43,6,2,4,1,2,1,1,2,2,186,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,59,2,1,2,1,1,1,1,2,2,579,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,24,7,2,6,1,2,1,1,2,2,165,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,37,4,2,5,0,2,2,1,2,2,163,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,40,4,1,5,0,1,1,1,2,2,46,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,42,4,1,5,0,1,1,1,2,2,559,3,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,39,2,3,2,0,1,1,1,2,2,2033,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,37,10,1,3,1,1,1,1,2,2,85,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,38,2,1,2,1,2,2,1,2,2,506,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,56,3,3,0,0,1,1,1,2,2,114,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,40,4,1,0,1,1,1,1,2,2,114,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,54,7,3,6,1,2,1,1,2,2,843,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,43,4,1,2,0,1,2,1,2,2,181,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,36,2,1,2,0,1,1,1,2,2,427,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,45,6,1,6,1,2,2,1,2,2,292,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,42,3,2,6,0,1,1,1,2,2,192,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,43,2,1,2,1,1,1,1,2,2,93,3,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,46,7,1,5,1,1,1,1,2,2,128,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,44,2,1,2,1,2,2,1,2,2,107,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,51,3,2,3,1,1,1,1,2,2,303,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,28,2,1,2,1,2,1,1,2,2,81,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,37,4,1,5,1,1,1,1,2,2,270,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,34,6,1,2,1,1,1,1,2,2,228,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,46,4,1,3,0,2,1,1,2,2,240,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
1,42,4,1,5,1,2,2,1,2,2,673,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,36,3,1,6,1,2,1,1,2,2,233,3,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,54,4,1,1,0,1,1,1,2,2,102,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,57,7,1,6,1,1,1,1,2,2,461,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,51,6,1,3,0,1,1,1,2,2,250,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,54,5,1,2,0,1,1,1,2,2,130,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,49,4,1,1,0,1,1,1,2,2,252,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,34,3,1,6,1,2,1,1,2,2,138,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,41,6,1,4,1,1,1,1,2,2,412,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,38,4,2,5,1,2,1,1,2,2,179,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,45,7,3,6,1,1,1,1,2,2,19,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,42,6,1,6,1,1,1,1,2,2,228,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,34,4,2,5,0,2,1,1,2,2,55,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,48,4,1,1,1,2,1,1,2,2,717,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,37,3,1,2,0,2,1,1,2,2,313,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,34,4,2,5,0,1,1,1,2,2,289,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,40,3,1,5,0,2,1,1,2,2,683,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,43,4,1,3,1,2,1,1,2,2,1077,1,0,0,0,1.1,93.994,-36.4,4.857,5191,yes,no
0,33,2,1,2,1,1,1,1,2,2,146,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,32,2,2,3,1,1,1,1,2,2,167,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,39,4,1,2,1,2,1,1,2,2,356,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,43,3,1,0,1,1,1,1,2,2,277,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,44,4,1,5,1,2,1,1,2,2,172,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,35,11,2,6,0,1,1,1,2,2,218,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,35,11,2,6,0,2,2,1,2,2,217,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,35,8,1,4,1,1,1,1,2,2,67,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,36,2,2,1,1,1,1,1,2,2,291,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,35,11,2,6,0,2,1,1,2,2,248,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,36,11,2,5,1,2,1,1,2,2,256,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,55,1,3,6,1,1,1,1,2,2,286,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,59,3,1,6,1,1,1,1,2,2,477,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,57,5,1,0,0,1,1,1,2,2,611,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,39,4,1,4,0,2,1,1,2,2,471,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,39,1,1,1,0,2,1,1,2,2,381,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,30,4,2,0,1,2,1,1,2,2,251,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,30,4,2,0,1,2,2,1,2,2,408,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,50,1,1,1,0,1,1,1,2,2,287,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,40,2,1,2,1,1,1,1,2,2,322,3,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,35,3,1,2,1,2,1,1,2,2,216,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,43,6,1,0,0,1,1,1,2,2,366,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,36,2,2,3,0,2,1,1,2,2,210,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,46,6,1,1,0,2,1,1,2,2,288,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,40,6,1,5,1,1,1,1,2,2,168,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,58,5,1,6,1,1,1,1,2,2,132,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,42,6,1,6,1,1,1,1,2,2,64,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,35,3,2,6,1,1,1,1,2,2,209,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,43,5,1,1,0,1,1,1,2,2,410,3,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,45,4,1,1,1,2,2,1,2,2,177,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,39,3,1,4,1,2,1,1,2,2,580,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,50,2,3,4,1,2,1,1,2,2,165,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,no
0,32,7,3,1,0,2,1,1,2,2,127,2,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
0,39,3,1,2,0,1,1,1,2,2,357,1,0,0,0,1.1,93.994,-36.4,4.857,5191,no,yes
